infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 2p-s,imperative 1p-p,imperative 2p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,past imperative 2p-s,past imperative 1p-p,past imperative 2p-p,gerund
négocier,to negotiate,False,négocie,négocies,négocie,négocions,négociez,négocient,négociais,négociais,négociait,négociions,négociiez,négociaient,négociai,négocias,négocia,négociâmes,négociâtes,négocièrent,négocierai,négocieras,négociera,négocierons,négocierez,négocieront,négocierais,négocierais,négocierait,négocierions,négocieriez,négocieraient,négocie,négocies,négocie,négociions,négociiez,négocient,négociasse,négociasses,négociât,négociassions,négociassiez,négociassent,négocie,négocions,négociez,ai négocié,as négocié,a négocié,avons négocié,avez négocié,ont négocié,avais négocié,avais négocié,avait négocié,avions négocié,aviez négocié,avaient négocié,aurai négocié,auras négocié,aura négocié,aurons négocié,aurez négocié,auront négocié,aurais négocié,aurais négocié,aurait négocié,aurions négocié,auriez négocié,auraient négocié,aie négocié,aies négocié,ait négocié,ayons négocié,ayez négocié,aient négocié,eusse négocié,eusses négocié,eût négocié,eussions négocié,eussiez négocié,eussent négocié,eus négocié,eus négocié,eut négocié,eûmes négocié,eûtes négocié,eurent négocié,aie négocié,ayons négocié,ayez négocié,négociant
négliger,to neglect,False,néglige,négliges,néglige,négligeons,négligez,négligent,négligeais,négligeais,négligeait,négligions,négligiez,négligeaient,négligeai,négligeas,négligea,négligeâmes,négligeâtes,négligèrent,négligerai,négligeras,négligera,négligerons,négligerez,négligeront,négligerais,négligerais,négligerait,négligerions,négligeriez,négligeraient,néglige,négliges,néglige,négligions,négligiez,négligent,négligeasse,négligeasses,négligeât,négligeassions,négligeassiez,négligeassent,néglige,négligeons,négligez,ai négligé,as négligé,a négligé,avons négligé,avez négligé,ont négligé,avais négligé,avais négligé,avait négligé,avions négligé,aviez négligé,avaient négligé,aurai négligé,auras négligé,aura négligé,aurons négligé,aurez négligé,auront négligé,aurais négligé,aurais négligé,aurait négligé,aurions négligé,auriez négligé,auraient négligé,aie négligé,aies négligé,ait négligé,ayons négligé,ayez négligé,aient négligé,eusse négligé,eusses négligé,eût négligé,eussions négligé,eussiez négligé,eussent négligé,eus négligé,eus négligé,eut négligé,eûmes négligé,eûtes négligé,eurent négligé,aie négligé,ayons négligé,ayez négligé,négligeant
mouiller,to wet,False,mouille,mouilles,mouille,mouillons,mouillez,mouillent,mouillais,mouillais,mouillait,mouillions,mouilliez,mouillaient,mouillai,mouillas,mouilla,mouillâmes,mouillâtes,mouillèrent,mouillerai,mouilleras,mouillera,mouillerons,mouillerez,mouilleront,mouillerais,mouillerais,mouillerait,mouillerions,mouilleriez,mouilleraient,mouille,mouilles,mouille,mouillions,mouilliez,mouillent,mouillasse,mouillasses,mouillât,mouillassions,mouillassiez,mouillassent,mouille,mouillons,mouillez,ai mouillé,as mouillé,a mouillé,avons mouillé,avez mouillé,ont mouillé,avais mouillé,avais mouillé,avait mouillé,avions mouillé,aviez mouillé,avaient mouillé,aurai mouillé,auras mouillé,aura mouillé,aurons mouillé,aurez mouillé,auront mouillé,aurais mouillé,aurais mouillé,aurait mouillé,aurions mouillé,auriez mouillé,auraient mouillé,aie mouillé,aies mouillé,ait mouillé,ayons mouillé,ayez mouillé,aient mouillé,eusse mouillé,eusses mouillé,eût mouillé,eussions mouillé,eussiez mouillé,eussent mouillé,eus mouillé,eus mouillé,eut mouillé,eûmes mouillé,eûtes mouillé,eurent mouillé,aie mouillé,ayons mouillé,ayez mouillé,mouillant
naître,to be born,True,nais,nais,naît,naissons,naissez,naissent,naissais,naissais,naissait,naissions,naissiez,naissaient,naquis,naquis,naquit,naquîmes,naquîtes,naquirent,naîtrai,naîtras,naîtra,naîtrons,naîtrez,naîtront,naîtrais,naîtrais,naîtrait,naîtrions,naîtriez,naîtraient,naisse,naisses,naisse,naissions,naissiez,naissent,naquisse,naquisses,naquît,naquissions,naquissiez,naquissent,nais,naissons,naissez,suis né,es né,est né,sommes né,êtes né,sont né,étais né,étais né,était né,étions né,étiez né,étaient né,serai né,seras né,sera né,serons né,serez né,seront né,serais né,serais né,serait né,serions né,seriez né,seraient né,sois né,sois né,soit né,soyons né,soyez né,soient né,fusse né,fusses né,fût né,fussions né,fussiez né,fussent né,fus né,fus né,fut né,fûmes né,fûtes né,fûrent né,sois né,soyons né,soyez né,naissant
noircir,to blacken,False,noircis,noircis,noircit,noircissons,noircissez,noircissent,noircissais,noircissais,noircissait,noircissions,noircissiez,noircissaient,noircis,noircis,noircit,noircîmes,noircîtes,noircirent,noircirai,noirciras,noircira,noircirons,noircirez,noirciront,noircirais,noircirais,noircirait,noircirions,noirciriez,noirciraient,noircisse,noircisses,noircisse,noircissions,noircissiez,noircissent,noircisse,noircisses,noircît,noircissions,noircissiez,noircissent,noircis,noircissons,noircissez,ai noirci,as noirci,a noirci,avons noirci,avez noirci,ont noirci,avais noirci,avais noirci,avait noirci,avions noirci,aviez noirci,avaient noirci,aurai noirci,auras noirci,aura noirci,aurons noirci,aurez noirci,auront noirci,aurais noirci,aurais noirci,aurait noirci,aurions noirci,auriez noirci,auraient noirci,aie noirci,aies noirci,ait noirci,ayons noirci,ayez noirci,aient noirci,eusse noirci,eusses noirci,eût noirci,eussions noirci,eussiez noirci,eussent noirci,eus noirci,eus noirci,eut noirci,eûmes noirci,eûtes noirci,eurent noirci,aie noirci,ayons noirci,ayez noirci,noircissant
nettoyer,to clean,False,nettoie,nettoies,nettoie,nettoyons,nettoyez,nettoient,nettoyais,nettoyais,nettoyait,nettoyions,nettoyiez,nettoyaient,nettoyai,nettoyas,nettoya,nettoyâmes,nettoyâtes,nettoyèrent,nettoierai,nettoieras,nettoiera,nettoierons,nettoierez,nettoieront,nettoierais,nettoierais,nettoierait,nettoierions,nettoieriez,nettoieraient,nettoie,nettoies,nettoie,nettoyions,nettoyiez,nettoient,nettoyasse,nettoyasses,nettoyât,nettoyassions,nettoyassiez,nettoyassent,nettoie,nettoyons,nettoyez,ai nettoyé,as nettoyé,a nettoyé,avons nettoyé,avez nettoyé,ont nettoyé,avais nettoyé,avais nettoyé,avait nettoyé,avions nettoyé,aviez nettoyé,avaient nettoyé,aurai nettoyé,auras nettoyé,aura nettoyé,aurons nettoyé,aurez nettoyé,auront nettoyé,aurais nettoyé,aurais nettoyé,aurait nettoyé,aurions nettoyé,auriez nettoyé,auraient nettoyé,aie nettoyé,aies nettoyé,ait nettoyé,ayons nettoyé,ayez nettoyé,aient nettoyé,eusse nettoyé,eusses nettoyé,eût nettoyé,eussions nettoyé,eussiez nettoyé,eussent nettoyé,eus nettoyé,eus nettoyé,eut nettoyé,eûmes nettoyé,eûtes nettoyé,eurent nettoyé,aie nettoyé,ayons nettoyé,ayez nettoyé,nettoyant
nuire,to harm,True,nuis,nuis,nuit,nuisons,nuisez,nuisent,nuisais,nuisais,nuisait,nuisions,nuisiez,nuisaient,nuisis,nuisis,nuisit,nuisîmes,nuisîtes,nuisirent,nuirai,nuiras,nuira,nuirons,nuirez,nuiront,nuirais,nuirais,nuirait,nuirions,nuiriez,nuiraient,nuise,nuises,nuise,nuisions,nuisiez,nuisent,nuisisse,nuisisses,nuisît,nuisissions,nuisissiez,nuisissent,nuis,nuisons,nuisez,ai nui,as nui,a nui,avons nui,avez nui,ont nui,avais nui,avais nui,avait nui,avions nui,aviez nui,avaient nui,aurai nui,auras nui,aura nui,aurons nui,aurez nui,auront nui,aurais nui,aurais nui,aurait nui,aurions nui,auriez nui,auraient nui,aie nui,aies nui,ait nui,ayons nui,ayez nui,aient nui,eusse nui,eusses nui,eût nui,eussions nui,eussiez nui,eussent nui,eus nui,eus nui,eut nui,eûmes nui,eûtes nui,eurent nui,aie nui,ayons nui,ayez nui,nuisant
nourrir,to feed,False,nourris,nourris,nourrit,nourrissons,nourrissez,nourrissent,nourrissais,nourrissais,nourrissait,nourrissions,nourrissiez,nourrissaient,nourris,nourris,nourrit,nourrîmes,nourrîtes,nourrirent,nourrirai,nourriras,nourrira,nourrirons,nourrirez,nourriront,nourrirais,nourrirais,nourrirait,nourririons,nourririez,nourriraient,nourrisse,nourrisses,nourrisse,nourrissions,nourrissiez,nourrissent,nourrisse,nourrisses,nourrît,nourrissions,nourrissiez,nourrissent,nourris,nourrissons,nourrissez,ai nourri,as nourri,a nourri,avons nourri,avez nourri,ont nourri,avais nourri,avais nourri,avait nourri,avions nourri,aviez nourri,avaient nourri,aurai nourri,auras nourri,aura nourri,aurons nourri,aurez nourri,auront nourri,aurais nourri,aurais nourri,aurait nourri,aurions nourri,auriez nourri,auraient nourri,aie nourri,aies nourri,ait nourri,ayons nourri,ayez nourri,aient nourri,eusse nourri,eusses nourri,eût nourri,eussions nourri,eussiez nourri,eussent nourri,eus nourri,eus nourri,eut nourri,eûmes nourri,eûtes nourri,eurent nourri,aie nourri,ayons nourri,ayez nourri,nourrissant
monter,to climb,False,monte,montes,monte,montons,montez,montent,montais,montais,montait,montions,montiez,montaient,montai,montas,monta,montâmes,montâtes,montèrent,monterai,monteras,montera,monterons,monterez,monteront,monterais,monterais,monterait,monterions,monteriez,monteraient,monte,montes,monte,montions,montiez,montent,montasse,montasses,montât,montassions,montassiez,montassent,monte,montons,montez,ai monté,as monté,a monté,avons monté,avez monté,ont monté,avais monté,avais monté,avait monté,avions monté,aviez monté,avaient monté,aurai monté,auras monté,aura monté,aurons monté,aurez monté,auront monté,aurais monté,aurais monté,aurait monté,aurions monté,auriez monté,auraient monté,aie monté,aies monté,ait monté,ayons monté,ayez monté,aient monté,eusse monté,eusses monté,eût monté,eussions monté,eussiez monté,eussent monté,eus monté,eus monté,eut monté,eûmes monté,eûtes monté,eurent monté,aie monté,ayons monté,ayez monté,montant
modérer,to moderate,False,modère,modères,modère,modérons,modérez,modèrent,modérais,modérais,modérait,modérions,modériez,modéraient,modérai,modéras,modéra,modérâmes,modérâtes,modérèrent,modèrerai;modérerai,modèreras;modéreras,modèrera;modérera,modèrerons;modérerons,modèrerez;modérerez,modèreront;modéreront,modèrerais;modérerais,modèrerais;modérerais,modèrerait;modérerait,modèrerions;modérerions,modèreriez;modéreriez,modèreraient;modéreraient,modère,modères,modère,modérions,modériez,modèrent,modérasse,modérasses,modérât,modérassions,modérassiez,modérassent,modère,modérons,modérez,ai modéré,as modéré,a modéré,avons modéré,avez modéré,ont modéré,avais modéré,avais modéré,avait modéré,avions modéré,aviez modéré,avaient modéré,aurai modéré,auras modéré,aura modéré,aurons modéré,aurez modéré,auront modéré,aurais modéré,aurais modéré,aurait modéré,aurions modéré,auriez modéré,auraient modéré,aie modéré,aies modéré,ait modéré,ayons modéré,ayez modéré,aient modéré,eusse modéré,eusses modéré,eût modéré,eussions modéré,eussiez modéré,eussent modéré,eus modéré,eus modéré,eut modéré,eûmes modéré,eûtes modéré,eurent modéré,aie modéré,ayons modéré,ayez modéré,modérant
obtenir,"to obtain, to get",True,obtiens,obtiens,obtient,obtenons,obtenez,obtiennent,obtenais,obtenais,obtenait,obtenions,obteniez,obtenaient,obtins,obtins,obtint,obtînmes,obtîntes,obtinrent,obtiendrai,obtiendras,obtiendra,obtiendrons,obtiendrez,obtiendront,obtiendrais,obtiendrais,obtiendrait,obtiendrions,obtiendriez,obtiendraient,obtienne,obtiennes,obtienne,obtenions,obteniez,obtiennent,obtinsse,obtinsses,obtînt,obtinssions,obtinssiez,obtinssent,obtiens,obtenons,obtenez,ai obtenu,as obtenu,a obtenu,avons obtenu,avez obtenu,ont obtenu,avais obtenu,avais obtenu,avait obtenu,avions obtenu,aviez obtenu,avaient obtenu,aurai obtenu,auras obtenu,aura obtenu,aurons obtenu,aurez obtenu,auront obtenu,aurais obtenu,aurais obtenu,aurait obtenu,aurions obtenu,auriez obtenu,auraient obtenu,aie obtenu,aies obtenu,ait obtenu,ayons obtenu,ayez obtenu,aient obtenu,eusse obtenu,eusses obtenu,eût obtenu,eussions obtenu,eussiez obtenu,eussent obtenu,eus obtenu,eus obtenu,eut obtenu,eûmes obtenu,eûtes obtenu,eurent obtenu,aie obtenu,ayons obtenu,ayez obtenu,obtenant
participer,to participate,False,participe,participes,participe,participons,participez,participent,participais,participais,participait,participions,participiez,participaient,participai,participas,participa,participâmes,participâtes,participèrent,participerai,participeras,participera,participerons,participerez,participeront,participerais,participerais,participerait,participerions,participeriez,participeraient,participe,participes,participe,participions,participiez,participent,participasse,participasses,participât,participassions,participassiez,participassent,participe,participons,participez,ai participé,as participé,a participé,avons participé,avez participé,ont participé,avais participé,avais participé,avait participé,avions participé,aviez participé,avaient participé,aurai participé,auras participé,aura participé,aurons participé,aurez participé,auront participé,aurais participé,aurais participé,aurait participé,aurions participé,auriez participé,auraient participé,aie participé,aies participé,ait participé,ayons participé,ayez participé,aient participé,eusse participé,eusses participé,eût participé,eussions participé,eussiez participé,eussent participé,eus participé,eus participé,eut participé,eûmes participé,eûtes participé,eurent participé,aie participé,ayons participé,ayez participé,participant
