infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 2p-s,imperative 1p-p,imperative 2p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,past imperative 2p-s,past imperative 1p-p,past imperative 2p-p,gerund
acheter,to buy,False,achète,achètes,achète,achetons,achetez,achètent,achetais,achetais,achetait,achetions,achetiez,achetaient,achetai,achetas,acheta,achetâmes,achetâtes,achetèrent,achèterai,achèteras,achètera,achèterons,achèterez,achèteront,achèterais,achèterais,achèterait,achèterions,achèteriez,achèteraient,achète,achètes,achète,achetions,achetiez,achètent,achetasse,achetasses,achetât,achetassions,achetassiez,achetassent,achète,achetons,achetez,ai acheté,as acheté,a acheté,avons acheté,avez acheté,ont acheté,avais acheté,avais acheté,avait acheté,avions acheté,aviez acheté,avaient acheté,aurai acheté,auras acheté,aura acheté,aurons acheté,aurez acheté,auront acheté,aurais acheté,aurais acheté,aurait acheté,aurions acheté,auriez acheté,auraient acheté,aie acheté,aies acheté,ait acheté,ayons acheté,ayez acheté,aient acheté,eusse acheté,eusses acheté,eût acheté,eussions acheté,eussiez acheté,eussent acheté,eus acheté,eus acheté,eut acheté,eûmes acheté,eûtes acheté,eurent acheté,aie acheté,ayons acheté,ayez acheté,achetant
aider,to help,False,aide,aides,aide,aidons,aidez,aident,aidais,aidais,aidait,aidions,aidiez,aidaient,aidai,aidas,aida,aidâmes,aidâtes,aidèrent,aiderai,aideras,aidera,aiderons,aiderez,aideront,aiderais,aiderais,aiderait,aiderions,aideriez,aideraient,aide,aides,aide,aidions,aidiez,aident,aidasse,aidasses,aidât,aidassions,aidassiez,aidassent,aide,aidons,aidez,ai aidé,as aidé,a aidé,avons aidé,avez aidé,ont aidé,avais aidé,avais aidé,avait aidé,avions aidé,aviez aidé,avaient aidé,aurai aidé,auras aidé,aura aidé,aurons aidé,aurez aidé,auront aidé,aurais aidé,aurais aidé,aurait aidé,aurions aidé,auriez aidé,auraient aidé,aie aidé,aies aidé,ait aidé,ayons aidé,ayez aidé,aient aidé,eusse aidé,eusses aidé,eût aidé,eussions aidé,eussiez aidé,eussent aidé,eus aidé,eus aidé,eut aidé,eûmes aidé,eûtes aidé,eurent aidé,aie aidé,ayons aidé,ayez aidé,aidant
acquérir,to acquire,True,acquiers,acquiers,acquiert,acquérons,acquérez,acquièrent,acquérais,acquérais,acquérait,acquérions,acquériez,acquéraient,acquis,acquis,acquit,acquîmes,acquîtes,acquirent,acquerrai,acquerras,acquerra,acquerrons,acquerrez,acquerront,acquerrais,acquerrais,acquerrait,acquerrions,acquerriez,acquerraient,acquière,acquières,acquière,acquérions,acquériez,acquièrent,acquisse,acquisses,acquît,acquissions,acquissiez,acquissent,acquiers,acquérons,acquérez,ai acquis,as acquis,a acquis,avons acquis,avez acquis,ont acquis,avais acquis,avais acquis,avait acquis,avions acquis,aviez acquis,avaient acquis,aurai acquis,auras acquis,aura acquis,aurons acquis,aurez acquis,auront acquis,aurais acquis,aurais acquis,aurait acquis,aurions acquis,auriez acquis,auraient acquis,aie acquis,aies acquis,ait acquis,ayons acquis,ayez acquis,aient acquis,eusse acquis,eusses acquis,eût acquis,eussions acquis,eussiez acquis,eussent acquis,eus acquis,eus acquis,eut acquis,eûmes acquis,eûtes acquis,eurent acquis,aie acquis,ayons acquis,ayez acquis,acquérant
absoudre,to absolve,True,absous,absous,absout,absolvons,absolvez,absolvent,absolvais,absolvais,absolvait,absolvions,absolviez,absolvaient,,,,,,,absoudrai,absoudras,absoudra,absoudrons,absoudrez,absoudront,absoudrais,absoudrais,absoudrait,absoudrions,absoudriez,absoudraient,absolve,absolves,absolve,absolvions,absolviez,absolvent,,,,,,,absous,absolvons,absolvez,ai absous;absout,as absous;absout,a absous;absout,avons absous;absout,avez absous;absout,ont absous;absout,avais absous;absout,avais absous;absout,avait absous;absout,avions absous;absout,aviez absous;absout,avaient absous;absout,aurai absous;absout,auras absous;absout,aura absous;absout,aurons absous;absout,aurez absous;absout,auront absous;absout,aurais absous;absout,aurais absous;absout,aurait absous;absout,aurions absous;absout,auriez absous;absout,auraient absous;absout,aie absous;absout,aies absous;absout,ait absous;absout,ayons absous;absout,ayez absous;absout,aient absous;absout,eusse absous;absout,eusses absous;absout,eût absous;absout,eussions absous;absout,eussiez absous;absout,eussent absous;absout,eus absous;absout,eus absous;absout,eut absous;absout,eûmes absous;absout,eûtes absous;absout,eurent absous;absout,aie absous;absout,ayons absous;absout,ayez absous;absout,absolvant
accepter,to accept,False,accepte,acceptes,accepte,acceptons,acceptez,acceptent,acceptais,acceptais,acceptait,acceptions,acceptiez,acceptaient,acceptai,acceptas,accepta,acceptâmes,acceptâtes,acceptèrent,accepterai,accepteras,acceptera,accepterons,accepterez,accepteront,accepterais,accepterais,accepterait,accepterions,accepteriez,accepteraient,accepte,acceptes,accepte,acceptions,acceptiez,acceptent,acceptasse,acceptasses,acceptât,acceptassions,acceptassiez,acceptassent,accepte,acceptons,acceptez,ai accepté,as accepté,a accepté,avons accepté,avez accepté,ont accepté,avais accepté,avais accepté,avait accepté,avions accepté,aviez accepté,avaient accepté,aurai accepté,auras accepté,aura accepté,aurons accepté,aurez accepté,auront accepté,aurais accepté,aurais accepté,aurait accepté,aurions accepté,auriez accepté,auraient accepté,aie accepté,aies accepté,ait accepté,ayons accepté,ayez accepté,aient accepté,eusse accepté,eusses accepté,eût accepté,eussions accepté,eussiez accepté,eussent accepté,eus accepté,eus accepté,eut accepté,eûmes accepté,eûtes accepté,eurent accepté,aie accepté,ayons accepté,ayez accepté,acceptant
accourir,to hurry,True,accours,accours,accourt,accourons,accourez,accourent,accourais,accourais,accourait,accourions,accouriez,accouraient,accourus,accourus,accourut,accourûmes,accourûtes,accoururent,accourrai,accourras,accourra,accourrons,accourrez,accourront,accourrais,accourrais,accourrait,accourrions,accourriez,accourraient,accoure,accoures,accoure,accourions,accouriez,accourent,accourusse,accourusses,accourût,accourussions,accourussiez,accourussent,accours,accourons,accourez,ai accouru,as accouru,a accouru,avons accouru,avez accouru,ont accouru,avais accouru,avais accouru,avait accouru,avions accouru,aviez accouru,avaient accouru,aurai accouru,auras accouru,aura accouru,aurons accouru,aurez accouru,auront accouru,aurais accouru,aurais accouru,aurait accouru,aurions accouru,auriez accouru,auraient accouru,aie accouru,aies accouru,ait accouru,ayons accouru,ayez accouru,aient accouru,eusse accouru,eusses accouru,eût accouru,eussions accouru,eussiez accouru,eussent accouru,eus accouru,eus accouru,eut accouru,eûmes accouru,eûtes accouru,eurent accouru,aie accouru,ayons accouru,ayez accouru,accourant
admettre,to admit,True,admets,admets,admet,admettons,admettez,admettent,admettais,admettais,admettait,admettions,admettiez,admettaient,admis,admis,admit,admîmes,admîtes,admirent,admettrai,admettras,admettra,admettrons,admettrez,admettront,admettrais,admettrais,admettrait,admettrions,admettriez,admettraient,admette,admettes,admette,admettions,admettiez,admettent,admisse,admisses,admît,admissions,admissiez,admissent,admets,admettons,admettez,ai admis,as admis,a admis,avons admis,avez admis,ont admis,avais admis,avais admis,avait admis,avions admis,aviez admis,avaient admis,aurai admis,auras admis,aura admis,aurons admis,aurez admis,auront admis,aurais admis,aurais admis,aurait admis,aurions admis,auriez admis,auraient admis,aie admis,aies admis,ait admis,ayons admis,ayez admis,aient admis,eusse admis,eusses admis,eût admis,eussions admis,eussiez admis,eussent admis,eus admis,eus admis,eut admis,eûmes admis,eûtes admis,eurent admis,aie admis,ayons admis,ayez admis,admettant
abaisser,to lower,False,abaisse,abaisses,abaisse,abaissons,abaissez,abaissent,abaissais,abaissais,abaissait,abaissions,abaissiez,abaissaient,abaissai,abaissas,abaissa,abaissâmes,abaissâtes,abaissèrent,abaisserai,abaisseras,abaissera,abaisserons,abaisserez,abaisseront,abaisserais,abaisserais,abaisserait,abaisserions,abaisseriez,abaisseraient,abaisse,abaisses,abaisse,abaissions,abaissiez,abaissent,abaissasse,abaissasses,abaissât,abaissassions,abaissassiez,abaissassent,abaisse,abaissons,abaissez,ai abaissé,as abaissé,a abaissé,avons abaissé,avez abaissé,ont abaissé,avais abaissé,avais abaissé,avait abaissé,avions abaissé,aviez abaissé,avaient abaissé,aurai abaissé,auras abaissé,aura abaissé,aurons abaissé,aurez abaissé,auront abaissé,aurais abaissé,aurais abaissé,aurait abaissé,aurions abaissé,auriez abaissé,auraient abaissé,aie abaissé,aies abaissé,ait abaissé,ayons abaissé,ayez abaissé,aient abaissé,eusse abaissé,eusses abaissé,eût abaissé,eussions abaissé,eussiez abaissé,eussent abaissé,eus abaissé,eus abaissé,eut abaissé,eûmes abaissé,eûtes abaissé,eurent abaissé,aie abaissé,ayons abaissé,ayez abaissé,abaissant
accueillir,to welcome,True,accueille,accueilles,accueille,accueillons,accueillez,accueillent,accueillais,accueillais,accueillait,accueillions,accueilliez,accueillaient,accueillis,accueillis,accueillit,accueillîmes,accueillîtes,accueillirent,accueillerai,accueilleras,accueillera,accueillerons,accueillerez,accueilleront,accueillerais,accueillerais,accueillerait,accueillerions,accueilleriez,accueilleraient,accueille,accueilles,accueille,accueillions,accueilliez,accueillent,accueillisse,accueillisses,accueillît,accueillissions,accueillissiez,accueillissent,accueille,accueillons,accueillez,ai accueilli,as accueilli,a accueilli,avons accueilli,avez accueilli,ont accueilli,avais accueilli,avais accueilli,avait accueilli,avions accueilli,aviez accueilli,avaient accueilli,aurai accueilli,auras accueilli,aura accueilli,aurons accueilli,aurez accueilli,auront accueilli,aurais accueilli,aurais accueilli,aurait accueilli,aurions accueilli,auriez accueilli,auraient accueilli,aie accueilli,aies accueilli,ait accueilli,ayons accueilli,ayez accueilli,aient accueilli,eusse accueilli,eusses accueilli,eût accueilli,eussions accueilli,eussiez accueilli,eussent accueilli,eus accueilli,eus accueilli,eut accueilli,eûmes accueilli,eûtes accueilli,eurent accueilli,aie accueilli,ayons accueilli,ayez accueilli,accueillant
accuser,"to accuse, acknowledge",False,accuse,accuses,accuse,accusons,accusez,accusent,accusais,accusais,accusait,accusions,accusiez,accusaient,accusai,accusas,accusa,accusâmes,accusâtes,accusèrent,accuserai,accuseras,accusera,accuserons,accuserez,accuseront,accuserais,accuserais,accuserait,accuserions,accuseriez,accuseraient,accuse,accuses,accuse,accusions,accusiez,accusent,accusasse,accusasses,accusât,accusassions,accusassiez,accusassent,accuse,accusons,accusez,ai accusé,as accusé,a accusé,avons accusé,avez accusé,ont accusé,avais accusé,avais accusé,avait accusé,avions accusé,aviez accusé,avaient accusé,aurai accusé,auras accusé,aura accusé,aurons accusé,aurez accusé,auront accusé,aurais accusé,aurais accusé,aurait accusé,aurions accusé,auriez accusé,auraient accusé,aie accusé,aies accusé,ait accusé,ayons accusé,ayez accusé,aient accusé,eusse accusé,eusses accusé,eût accusé,eussions accusé,eussiez accusé,eussent accusé,eus accusé,eus accusé,eut accusé,eûmes accusé,eûtes accusé,eurent accusé,aie accusé,ayons accusé,ayez accusé,accusant
abasourdir,"to daze, bewilder",False,abasourdis,abasourdis,abasourdit,abasourdissons,abasourdissez,abasourdissent,abasourdissais,abasourdissais,abasourdissait,abasourdissions,abasourdissiez,abasourdissaient,abasourdis,abasourdis,abasourdit,abasourdîmes,abasourdîtes,abasourdirent,abasourdirai,abasourdiras,abasourdira,abasourdirons,abasourdirez,abasourdiront,abasourdirais,abasourdirais,abasourdirait,abasourdirions,abasourdiriez,abasourdiraient,abasourdisse,abasourdisses,abasourdisse,abasourdissions,abasourdissiez,abasourdissent,abasourdisse,abasourdisses,abasourdît,abasourdissions,abasourdissiez,abasourdissent,abasourdis,abasourdissons,abasourdissez,ai abasourdi,as abasourdi,a abasourdi,avons abasourdi,avez abasourdi,ont abasourdi,avais abasourdi,avais abasourdi,avait abasourdi,avions abasourdi,aviez abasourdi,avaient abasourdi,aurai abasourdi,auras abasourdi,aura abasourdi,aurons abasourdi,aurez abasourdi,auront abasourdi,aurais abasourdi,aurais abasourdi,aurait abasourdi,aurions abasourdi,auriez abasourdi,auraient abasourdi,aie abasourdi,aies abasourdi,ait abasourdi,ayons abasourdi,ayez abasourdi,aient abasourdi,eusse abasourdi,eusses abasourdi,eût abasourdi,eussions abasourdi,eussiez abasourdi,eussent abasourdi,eus abasourdi,eus abasourdi,eut abasourdi,eûmes abasourdi,eûtes abasourdi,eurent abasourdi,aie abasourdi,ayons abasourdi,ayez abasourdi,abasourdissant
agir,to act,False,agis,agis,agit,agissons,agissez,agissent,agissais,agissais,agissait,agissions,agissiez,agissaient,agis,agis,agit,agîmes,agîtes,agirent,agirai,agiras,agira,agirons,agirez,agiront,agirais,agirais,agirait,agirions,agiriez,agiraient,agisse,agisses,agisse,agissions,agissiez,agissent,agisse,agisses,agît,agissions,agissiez,agissent,agis,agissons,agissez,ai agi,as agi,a agi,avons agi,avez agi,ont agi,avais agi,avais agi,avait agi,avions agi,aviez agi,avaient agi,aurai agi,auras agi,aura agi,aurons agi,aurez agi,auront agi,aurais agi,aurais agi,aurait agi,aurions agi,auriez agi,auraient agi,aie agi,aies agi,ait agi,ayons agi,ayez agi,aient agi,eusse agi,eusses agi,eût agi,eussions agi,eussiez agi,eussent agi,eus agi,eus agi,eut agi,eûmes agi,eûtes agi,eurent agi,aie agi,ayons agi,ayez agi,agissant
agacer,to annoy,False,agace,agaces,agace,agaçons,agacez,agacent,agaçais,agaçais,agaçait,agacions,agaciez,agaçaient,agaçai,agaças,agaça,agaçâmes,agaçâtes,agacèrent,agacerai,agaceras,agacera,agacerons,agacerez,agaceront,agacerais,agacerais,agacerait,agacerions,agaceriez,agaceraient,agace,agaces,agace,agacions,agaciez,agacent,agaçasse,agaçasses,agaçât,agaçassions,agaçassiez,agaçassent,agace,agaçons,agacez,ai agacé,as agacé,a agacé,avons agacé,avez agacé,ont agacé,avais agacé,avais agacé,avait agacé,avions agacé,aviez agacé,avaient agacé,aurai agacé,auras agacé,aura agacé,aurons agacé,aurez agacé,auront agacé,aurais agacé,aurais agacé,aurait agacé,aurions agacé,auriez agacé,auraient agacé,aie agacé,aies agacé,ait agacé,ayons agacé,ayez agacé,aient agacé,eusse agacé,eusses agacé,eût agacé,eussions agacé,eussiez agacé,eussent agacé,eus agacé,eus agacé,eut agacé,eûmes agacé,eûtes agacé,eurent agacé,aie agacé,ayons agacé,ayez agacé,agaçant
accompagner,to accompany,False,accompagne,accompagnes,accompagne,accompagnons,accompagnez,accompagnent,accompagnais,accompagnais,accompagnait,accompagnions,accompagniez,accompagnaient,accompagnai,accompagnas,accompagna,accompagnâmes,accompagnâtes,accompagnèrent,accompagnerai,accompagneras,accompagnera,accompagnerons,accompagnerez,accompagneront,accompagnerais,accompagnerais,accompagnerait,accompagnerions,accompagneriez,accompagneraient,accompagne,accompagnes,accompagne,accompagnions,accompagniez,accompagnent,accompagnasse,accompagnasses,accompagnât,accompagnassions,accompagnassiez,accompagnassent,accompagne,accompagnons,accompagnez,ai accompagné,as accompagné,a accompagné,avons accompagné,avez accompagné,ont accompagné,avais accompagné,avais accompagné,avait accompagné,avions accompagné,aviez accompagné,avaient accompagné,aurai accompagné,auras accompagné,aura accompagné,aurons accompagné,aurez accompagné,auront accompagné,aurais accompagné,aurais accompagné,aurait accompagné,aurions accompagné,auriez accompagné,auraient accompagné,aie accompagné,aies accompagné,ait accompagné,ayons accompagné,ayez accompagné,aient accompagné,eusse accompagné,eusses accompagné,eût accompagné,eussions accompagné,eussiez accompagné,eussent accompagné,eus accompagné,eus accompagné,eut accompagné,eûmes accompagné,eûtes accompagné,eurent accompagné,aie accompagné,ayons accompagné,ayez accompagné,accompagnant
adorer,to adore,False,adore,adores,adore,adorons,adorez,adorent,adorais,adorais,adorait,adorions,adoriez,adoraient,adorai,adoras,adora,adorâmes,adorâtes,adorèrent,adorerai,adoreras,adorera,adorerons,adorerez,adoreront,adorerais,adorerais,adorerait,adorerions,adoreriez,adoreraient,adore,adores,adore,adorions,adoriez,adorent,adorasse,adorasses,adorât,adorassions,adorassiez,adorassent,adore,adorons,adorez,ai adoré,as adoré,a adoré,avons adoré,avez adoré,ont adoré,avais adoré,avais adoré,avait adoré,avions adoré,aviez adoré,avaient adoré,aurai adoré,auras adoré,aura adoré,aurons adoré,aurez adoré,auront adoré,aurais adoré,aurais adoré,aurait adoré,aurions adoré,auriez adoré,auraient adoré,aie adoré,aies adoré,ait adoré,ayons adoré,ayez adoré,aient adoré,eusse adoré,eusses adoré,eût adoré,eussions adoré,eussiez adoré,eussent adoré,eus adoré,eus adoré,eut adoré,eûmes adoré,eûtes adoré,eurent adoré,aie adoré,ayons adoré,ayez adoré,adorant
ajouter,to add,False,ajoute,ajoutes,ajoute,ajoutons,ajoutez,ajoutent,ajoutais,ajoutais,ajoutait,ajoutions,ajoutiez,ajoutaient,ajoutai,ajoutas,ajouta,ajoutâmes,ajoutâtes,ajoutèrent,ajouterai,ajouteras,ajoutera,ajouterons,ajouterez,ajouteront,ajouterais,ajouterais,ajouterait,ajouterions,ajouteriez,ajouteraient,ajoute,ajoutes,ajoute,ajoutions,ajoutiez,ajoutent,ajoutasse,ajoutasses,ajoutât,ajoutassions,ajoutassiez,ajoutassent,ajoute,ajoutons,ajoutez,ai ajouté,as ajouté,a ajouté,avons ajouté,avez ajouté,ont ajouté,avais ajouté,avais ajouté,avait ajouté,avions ajouté,aviez ajouté,avaient ajouté,aurai ajouté,auras ajouté,aura ajouté,aurons ajouté,aurez ajouté,auront ajouté,aurais ajouté,aurais ajouté,aurait ajouté,aurions ajouté,auriez ajouté,auraient ajouté,aie ajouté,aies ajouté,ait ajouté,ayons ajouté,ayez ajouté,aient ajouté,eusse ajouté,eusses ajouté,eût ajouté,eussions ajouté,eussiez ajouté,eussent ajouté,eus ajouté,eus ajouté,eut ajouté,eûmes ajouté,eûtes ajouté,eurent ajouté,aie ajouté,ayons ajouté,ayez ajouté,ajoutant
abstenir,to abstain,True,abstiens,abstiens,abstient,abstenons,abstenez,abstiennent,abstenais,abstenais,abstenait,abstenions,absteniez,abstenaient,abstins,abstins,abstint,abstînmes,abstîntes,abstinrent,abstiendrai,abstiendras,abstiendra,abstiendrons,abstiendrez,abstiendront,abstiendrais,abstiendrais,abstiendrait,abstiendrions,abstiendriez,abstiendraient,abstienne,abstiennes,abstienne,abstenions,absteniez,abstiennent,abstinsse,abstinsses,abstînt,abstinssions,abstinssiez,abstinssent,abstiens,abstenons,abstenez,ai abstenu,as abstenu,a abstenu,avons abstenu,avez abstenu,ont abstenu,avais abstenu,avais abstenu,avait abstenu,avions abstenu,aviez abstenu,avaient abstenu,aurai abstenu,auras abstenu,aura abstenu,aurons abstenu,aurez abstenu,auront abstenu,aurais abstenu,aurais abstenu,aurait abstenu,aurions abstenu,auriez abstenu,auraient abstenu,aie abstenu,aies abstenu,ait abstenu,ayons abstenu,ayez abstenu,aient abstenu,eusse abstenu,eusses abstenu,eût abstenu,eussions abstenu,eussiez abstenu,eussent abstenu,eus abstenu,eus abstenu,eut abstenu,eûmes abstenu,eûtes abstenu,eurent abstenu,aie abstenu,ayons abstenu,ayez abstenu,abstenant
adresser,to address,False,adresse,adresses,adresse,adressons,adressez,adressent,adressais,adressais,adressait,adressions,adressiez,adressaient,adressai,adressas,adressa,adressâmes,adressâtes,adressèrent,adresserai,adresseras,adressera,adresserons,adresserez,adresseront,adresserais,adresserais,adresserait,adresserions,adresseriez,adresseraient,adresse,adresses,adresse,adressions,adressiez,adressent,adressasse,adressasses,adressât,adressassions,adressassiez,adressassent,adresse,adressons,adressez,ai adressé,as adressé,a adressé,avons adressé,avez adressé,ont adressé,avais adressé,avais adressé,avait adressé,avions adressé,aviez adressé,avaient adressé,aurai adressé,auras adressé,aura adressé,aurons adressé,aurez adressé,auront adressé,aurais adressé,aurais adressé,aurait adressé,aurions adressé,auriez adressé,auraient adressé,aie adressé,aies adressé,ait adressé,ayons adressé,ayez adressé,aient adressé,eusse adressé,eusses adressé,eût adressé,eussions adressé,eussiez adressé,eussent adressé,eus adressé,eus adressé,eut adressé,eûmes adressé,eûtes adressé,eurent adressé,aie adressé,ayons adressé,ayez adressé,adressant
achever,to achieve,False,achève,achèves,achève,achevons,achevez,achèvent,achevais,achevais,achevait,achevions,acheviez,achevaient,achevai,achevas,acheva,achevâmes,achevâtes,achevèrent,achèverai,achèveras,achèvera,achèverons,achèverez,achèveront,achèverais,achèverais,achèverait,achèverions,achèveriez,achèveraient,achève,achèves,achève,achevions,acheviez,achèvent,achevasse,achevasses,achevât,achevassions,achevassiez,achevassent,achève,achevons,achevez,ai achevé,as achevé,a achevé,avons achevé,avez achevé,ont achevé,avais achevé,avais achevé,avait achevé,avions achevé,aviez achevé,avaient achevé,aurai achevé,auras achevé,aura achevé,aurons achevé,aurez achevé,auront achevé,aurais achevé,aurais achevé,aurait achevé,aurions achevé,auriez achevé,auraient achevé,aie achevé,aies achevé,ait achevé,ayons achevé,ayez achevé,aient achevé,eusse achevé,eusses achevé,eût achevé,eussions achevé,eussiez achevé,eussent achevé,eus achevé,eus achevé,eut achevé,eûmes achevé,eûtes achevé,eurent achevé,aie achevé,ayons achevé,ayez achevé,achevant
abolir,to abolish,False,abolis,abolis,abolit,abolissons,abolissez,abolissent,abolissais,abolissais,abolissait,abolissions,abolissiez,abolissaient,abolis,abolis,abolit,abolîmes,abolîtes,abolirent,abolirai,aboliras,abolira,abolirons,abolirez,aboliront,abolirais,abolirais,abolirait,abolirions,aboliriez,aboliraient,abolisse,abolisses,abolisse,abolissions,abolissiez,abolissent,abolisse,abolisses,abolît,abolissions,abolissiez,abolissent,abolis,abolissons,abolissez,ai aboli,as aboli,a aboli,avons aboli,avez aboli,ont aboli,avais aboli,avais aboli,avait aboli,avions aboli,aviez aboli,avaient aboli,aurai aboli,auras aboli,aura aboli,aurons aboli,aurez aboli,auront aboli,aurais aboli,aurais aboli,aurait aboli,aurions aboli,auriez aboli,auraient aboli,aie aboli,aies aboli,ait aboli,ayons aboli,ayez aboli,aient aboli,eusse aboli,eusses aboli,eût aboli,eussions aboli,eussiez aboli,eussent aboli,eus aboli,eus aboli,eut aboli,eûmes aboli,eûtes aboli,eurent aboli,aie aboli,ayons aboli,ayez aboli,abolissant
abattre,to knock down,False,abats,abats,abat,abattons,abattez,abattent,abattais,abattais,abattait,abattions,abattiez,abattaient,abattis,abattis,abattit,abattîmes,abattîtes,abattirent,abattrai,abattras,abattra,abattrons,abattrez,abattront,abattrais,abattrais,abattrait,abattrions,abattriez,abattraient,abatte,abattes,abatte,abattions,abattiez,abattent,abattisse,abattisses,abattît,abattissions,abattissiez,abattissent,abats,abattons,abattez,ai abattu,as abattu,a abattu,avons abattu,avez abattu,ont abattu,avais abattu,avais abattu,avait abattu,avions abattu,aviez abattu,avaient abattu,aurai abattu,auras abattu,aura abattu,aurons abattu,aurez abattu,auront abattu,aurais abattu,aurais abattu,aurait abattu,aurions abattu,auriez abattu,auraient abattu,aie abattu,aies abattu,ait abattu,ayons abattu,ayez abattu,aient abattu,eusse abattu,eusses abattu,eût abattu,eussions abattu,eussiez abattu,eussent abattu,eus abattu,eus abattu,eut abattu,eûmes abattu,eûtes abattu,eurent abattu,aie abattu,ayons abattu,ayez abattu,abattant
admirer,to admire,False,admire,admires,admire,admirons,admirez,admirent,admirais,admirais,admirait,admirions,admiriez,admiraient,admirai,admiras,admira,admirâmes,admirâtes,admirèrent,admirerai,admireras,admirera,admirerons,admirerez,admireront,admirerais,admirerais,admirerait,admirerions,admireriez,admireraient,admire,admires,admire,admirions,admiriez,admirent,admirasse,admirasses,admirât,admirassions,admirassiez,admirassent,admire,admirons,admirez,ai admiré,as admiré,a admiré,avons admiré,avez admiré,ont admiré,avais admiré,avais admiré,avait admiré,avions admiré,aviez admiré,avaient admiré,aurai admiré,auras admiré,aura admiré,aurons admiré,aurez admiré,auront admiré,aurais admiré,aurais admiré,aurait admiré,aurions admiré,auriez admiré,auraient admiré,aie admiré,aies admiré,ait admiré,ayons admiré,ayez admiré,aient admiré,eusse admiré,eusses admiré,eût admiré,eussions admiré,eussiez admiré,eussent admiré,eus admiré,eus admiré,eut admiré,eûmes admiré,eûtes admiré,eurent admiré,aie admiré,ayons admiré,ayez admiré,admirant
aimer,"to like, to love",False,aime,aimes,aime,aimons,aimez,aiment,aimais,aimais,aimait,aimions,aimiez,aimaient,aimai,aimas,aima,aimâmes,aimâtes,aimèrent,aimerai,aimeras,aimera,aimerons,aimerez,aimeront,aimerais,aimerais,aimerait,aimerions,aimeriez,aimeraient,aime,aimes,aime,aimions,aimiez,aiment,aimasse,aimasses,aimât,aimassions,aimassiez,aimassent,aime,aimons,aimez,ai aimé,as aimé,a aimé,avons aimé,avez aimé,ont aimé,avais aimé,avais aimé,avait aimé,avions aimé,aviez aimé,avaient aimé,aurai aimé,auras aimé,aura aimé,aurons aimé,aurez aimé,auront aimé,aurais aimé,aurais aimé,aurait aimé,aurions aimé,auriez aimé,auraient aimé,aie aimé,aies aimé,ait aimé,ayons aimé,ayez aimé,aient aimé,eusse aimé,eusses aimé,eût aimé,eussions aimé,eussiez aimé,eussent aimé,eus aimé,eus aimé,eut aimé,eûmes aimé,eûtes aimé,eurent aimé,aie aimé,ayons aimé,ayez aimé,aimant
